EmployerId,ClientTenure,Employees,Industry,NetworkStrength,ZipCode
664794,16,39,I11,0.1011,77002
266085092,13,156,I18,0.4721,80202
453271,29,21,I27,-0.0176,32653
619128,24,11,I20,0.4125,95008
544255125,2,8,I27,0.0536,77573
550362,9,45,I27,0.0389,85705
705820,17,64,I22,0.1011,77095
31115321,7,35,I22,-0.2453,18031
16609984,7,5,I14,0.2401,28204
840645,27,82,I20,0.3749,75081
534947011,2,3,I18,-0.6413,82602
553004,10,9,I12,-0.1124,55435
107617266,6,26,I22,-0.1424,60044
596131372,1,36,I19,0.2259,21060
234403671,21,16,I20,0.5411,90503
661344,28,71,I20,2.1135,57025
403499969,3,11,I22,-0.2462,53051
702722,34,27,I26,0.9784,30149
467923174,20,41,I11,0.1056,60090
698413376,1,280,,0.8190,30336
499920,22,715,I25,-0.7607,28602
548787845,2,3,I27,-0.3310,50522
661697,27,5,I15,-0.3982,36106
555550,8,57,I16,0.4645,95350
439626144,14,127,I26,-0.2937,75436
579371932,2,4,I21,-0.2887,36066
183362696,5,205,I12,0.4648,33410
393672163,3,19,,0.2401,28211
395120892,22,37,I27,-0.2097,15234
462185,15,27,I12,-0.2453,02062
641005167,1,35,,0.3749,75206
733766,12,88,I26,-0.3338,79009
542296,25,13,I20,0.8190,30327
661588513,2,25,I09,0.7075,33331
292925363,4,29,I20,0.0561,53208
734439,13,5,I14,-0.8657,27406
680679,7,6,I11,0.7075,33324
570948,18,52,I27,0.0397,37409
605545118,1,17,,0.3493,19082
477424,26,7,I13,0.2208,37901
320861915,4,23,I21,-1.0010,56001
305326715,31,37,I11,0.4338,03301
535428217,2,41,I20,-0.3561,49112
642928,8,13,I27,0.8845,46012
449229,13,50,I21,0.5958,55352
544599690,2,234,I25,-0.0801,07940
838931,15,11,I27,0.2923,20024
555985,11,7,,0.1126,46748
494864005,15,64,I21,-0.8504,75505
459258,9,22,I02,0.0558,94103
598373,29,7,I12,0.2339,97005
652063,12,50,I12,0.2514,33901
438899,28,2,I16,0.5768,11520
807532,9,5,I11,0.0561,53226
183269188,10,54,I25,-0.8641,27051
726101,14,222,I26,-0.4560,05819
633421,23,14,I13,0.7650,61081
435239,7,33,I21,-0.2453,19609
657515,9,4,I27,0.3246,49024
166381013,6,31,I24,-0.7312,30907
444434169,10,165,I27,-0.5883,55901
433207,30,4,I11,0.5516,11101
436687,11,4,I27,0.0978,29681
593933661,10,24,I27,-0.4912,39819
679802,10,55,I27,0.1530,98121
570727,7,5,I22,0.5411,90670
439955,20,17,I19,0.3855,41051
60509769,13,87,I27,-0.0555,02119
601554,21,10,I27,0.6117,40207
564665518,23,14,I27,0.6609,13904
709619,18,51,I13,-0.5977,17110
235616965,8,99,I20,-0.0801,07054
504926794,2,17,I22,0.8078,95206
479474,8,28,I23,0.1750,20176
231138985,5,32,I25,0.5411,90045
867355,12,3,I13,0.2225,21201
269476973,4,538,I22,0.6324,32073
743701,23,4,I08,0.4731,33629
510027055,17,452,I20,-0.2378,02451
554860996,14,2606,I26,0.1805,76022
393240268,12,16,I23,-0.9347,78577
735282,21,17,,0.4868,97205
273003784,30,18,I13,0.6770,92782
470892,9,13,I27,-0.2097,15213
500187,20,34,,0.2401,28104
161056833,5,111,I02,0.6907,48322
668113,29,2,I07,0.2014,06830
764275,29,17,I19,-0.3488,73107
756331,22,17,,0.1530,98047
475204819,2,14,I11,0.4332,22043
792576,24,44,I12,-0.5005,70601
194168834,5,11,I11,0.1056,60606
616274,24,125,I27,0.3413,78664
501316,28,543,I14,0.3918,10016
532713183,2,13,I11,0.0000,21794
782053,11,4,I27,0.4332,20171
536298300,14,658,I20,-0.5895,27560
554287,32,123,I26,0.5766,43220
831217,10,11,I25,-0.5026,67878
558305264,38,34,I20,0.7818,45439
362876164,28,1007,I20,0.6907,48326
499084,21,46,I27,0.4163,38002
637061590,3,330,I25,-0.8643,68410
435004,19,16,I27,0.3918,10001
53181946,6,18,I22,0.3578,99202
767788,11,41,I25,0.3918,10005
110973130,6,750,I27,0.1007,63045
363659067,4,24,I27,0.5411,90210
603077,31,30,I27,-0.5945,79604
532625,24,1,I20,-0.8757,38556
459343,26,14,I13,-0.2097,15222
581310,8,8,I11,0.6907,48390
694244,17,61,I21,0.4454,93463
838612,28,7,I02,0.1490,75252
769487,23,138,I27,0.1147,34108
534300,16,5,I11,0.5766,43085
809559,10,73,I26,0.7132,49509
769649,15,5,I27,0.2691,22209
866898,23,199,I26,-0.0188,01921
485115,14,9,I27,0.8483,92201
775776,13,12,I14,-0.5999,04061
750278,23,45,I27,0.5746,47804
324871092,4,26,I12,-0.8555,28546
342177390,26,107,I22,0.3485,08840
646895,8,15,I22,-0.3407,31408
656580673,1,49,,0.5053,29642
221964957,5,12,I22,0.2920,85023
715235,34,11,I12,0.5766,43215
480282346,2,595,,0.4731,33610
478405,24,19,I27,-0.0802,01538
691609,23,35,I09,0.5411,91361
674877,30,95,I23,0.3200,37064
650683414,1,28,I20,0.7818,45066
405473926,3,10,I27,-0.1798,78839
693710618,1,70,,0.8537,94560
826681,23,7,I20,0.4039,28098
814428,28,62,I13,0.1530,98101
485739755,3,14,I20,-0.1424,60081
657598591,1,101,,0.1805,76114
600840117,1,76,I20,0.8537,94621
497505186,2,112,I19,0.1805,76013
844518,11,2,,0.4381,08077
650558609,1,29,I27,1.2193,43551
542489031,2,27,I20,-0.1515,37303
837511,19,15,I15,-0.1124,55343
478170,22,4,,0.7379,14830
654289,15,13,I27,-0.0671,48415
494201,51,110,I27,0.6907,48071
672932954,1,12,,0.7062,30341
475703,17,34,I12,0.6907,48346
357939955,16,9,I25,-0.0802,01605
737490,29,27,I07,0.8253,44113
634731439,1,28,,-1.2104,76301
866344,20,17,I25,0.7319,10940
453021117,3,53,I26,-0.6589,04084
705641900,1,35,,-0.4649,04210
387214971,3,13,I02,0.2229,38018
594290929,2,5,,0.5411,90066
703928,8,17,I24,?,01550
483038,7,3,I27,1.0171,58577
621681,7,3,I07,?,01451
367233397,4,12,I20,-1.3177,55027
634005058,1,44,I27,0.5027,96019
555256,17,18,I02,0.6770,92660
266273458,8,15,I26,0.7242,10471
576990,7,3,I20,0.7905,44062
694479812,3,42,,-0.2305,67206
514647361,34,11,I20,-0.2097,15275
507680,13,19,I27,-0.1249,78212
174524164,30,78,I02,0.8253,44109
622331,18,6,I27,0.3749,75226
376488051,3,157,I05,-0.3416,18103
850900,20,3,I24,0.0031,19341
496817180,2,222,I02,-0.0701,15437
723364,7,66,,-0.4842,51503
643609023,15,48,I27,0.0849,99501
629967,27,2,I13,?,08221
686273,12,3,I25,0.1056,60459
265122348,10,48,I27,0.5411,90045
779743,18,3,I13,-0.6023,29812
271937680,4,15,I12,0.6430,33544
534644865,2,155,I21,-0.6972,79927
528069294,2,17,I27,-0.1531,65101
738682,20,15,,0.5411,90602
356884620,4,5,I27,0.3413,78755
793506,26,29,I26,-0.0801,07960
829689,27,16,I27,0.2370,19446
580201,18,17,I22,-0.4492,17055
597953,15,11,I19,0.2014,06902
790632,8,135,I12,-1.5141,59101
689891,7,11,I27,0.7286,33702
151874052,5,6,I27,0.6648,14228
654020,21,7,I16,0.4721,80264
557572,8,6,I07,?,04122
832559,19,19,I02,-0.2378,02459
306737513,4,16,I19,-0.3161,58078
384456866,9,167,I16,0.6907,48084
629906,12,65,I27,-0.4326,14424
723754,8,107,I23,-0.0383,54456
254447236,18,199,I19,-1.2302,79761
248392031,5,168,I27,-0.2305,67226
491899425,2,15,I23,-0.4178,29569
483960,34,9,I13,-0.5977,17110
376830643,3,22,I27,-0.1124,55425
744996,29,14,I23,0.4545,28043
445533,32,8,I12,0.2976,23454
578284,8,5,I27,0.7577,94582
630844820,1,25,I24,0.3918,10022
627905,45,24,I12,0.7194,33173
594487131,23,100,I19,0.4332,20151
595920,10,3,I25,?,67572
681954,7,17,,0.7648,41071
642332,13,55,I02,0.1056,60706
66115516,18,9,I27,0.3918,10016
650523687,1,45,I24,0.0031,19087
756802,30,4,I13,0.5411,91361
632694410,1,27,I27,?,30525
680343,12,11,I21,0.4556,44864
686001601,1,11,,0.3918,10013
349222271,11,99,I26,0.6473,79733
593354,9,13,I04,-1.3195,75670
783099,15,31,I13,0.5114,97035
422275337,14,331,I26,-1.0936,75418
681517,13,4,I13,-0.5433,15501
616599421,1,45,,0.4552,97309
516145,13,6,,0.1895,29466
156690349,44,5483,I20,0.1011,77002
568917712,10,17,I27,0.6648,14075
584187455,2,8,I12,-0.3488,73112
358938340,4,18,I15,0.5766,43206
40724237,6,33,,-0.1249,78254
126220048,6,3,I02,-0.2488,32514
404708259,3,16,I27,0.5313,55003
729785,16,53,I11,-0.0801,07932
265395329,4,63,I27,0.1056,?
442111017,30,36,I16,0.0034,48707
842011,15,268,I27,-0.1444,73189
511851247,2,53,I20,-0.8657,27317
175755132,5,39,I20,0.9763,30401
303023320,4,7,,0.2225,21219
450677244,3,76,I26,0.5411,90012
681795871,4,7,I13,0.5957,93003
462394148,3,19,I22,-0.2453,19512
195520632,5,8,I16,-0.1424,60035
847223,26,2,I16,-0.2777,01201
686828293,1,34,,-0.1254,36862
535307192,2,49,I27,0.6928,27577
616753195,1,32,I15,0.6284,92109
233596484,21,37,I27,-0.2097,15237
676968218,1,7,,-0.0333,06103
549241,12,10,I16,-0.2453,02184
502787,29,14,I27,0.4239,93704
441976,48,4,I23,0.0470,35611
483595,12,3,I02,0.8190,30308
344331884,4,9,I15,0.2401,89074
593749649,10,6,I21,0.5411,90086
228150444,28,878,I11,0.4333,15701
404598903,3,27,I27,-1.4952,56470
651566455,1,12,,0.4454,93455
760216,18,2,I02,0.6907,48076
755987,27,12,I19,0.4125,95131
630879,21,114,I23,-0.0594,17516
787528,14,29,I27,-0.1242,07649
621016,23,103,I25,0.0191,02915
678985,31,164,I22,0.1056,60525
524300,16,2,I16,-0.4004,37876
217880692,5,214,I20,0.1056,60090
786604,11,6,I15,-0.5635,57104
488619,26,7,I12,-0.1249,78258
553348,12,20,I09,0.1011,77060
445481079,24,24,I19,-0.2453,02189
124447906,6,7,I23,0.6284,92109
785310,25,71,I27,1.2290,37323
151853125,14,25,I21,0.2465,45251
385213118,19,154,I22,0.6770,92614
331195564,4,16,I11,-0.1860,08822
634157897,1,9,,-0.5895,27701
493078051,30,910,I25,0.7650,61081
36811036,7,28,I19,-0.3338,58631
550599,24,13,I09,0.3485,08830
665676,12,2,I22,0.0983,08021
23609661,7,32,I24,0.3595,41017
631833,22,10,I12,1.0126,13440
734379,27,14,I20,0.1007,63043
661746,8,30,I27,-0.2378,01862
497656435,2,15,I26,-0.1613,71302
543774,17,4,I20,?,04093
488875,8,10,I23,0.2017,72479
572582349,2,5,I09,0.8537,94542
607037,21,34,I22,0.9428,45311
600024299,27,10,I22,0.6770,92673
577076532,4,24,I27,0.4896,84102
615185874,1,6,I23,-0.0555,02111
701437781,25,713,,-0.8657,27401
650554824,1,3391,I26,1.3643,30134
564699395,2,18,I27,-0.0040,21014
551284657,2,6,I23,0.6770,92867
345489801,10,265,I26,0.5210,77612
453997317,3,2,I27,0.4239,93612
315040996,7,2,I20,0.6277,95060
589509829,2,6,I11,0.8537,94545
736715,26,16,I22,0.0397,37422
711765,25,47,I20,0.5948,37345
675737,13,2,I15,-0.7015,07860
592108109,1,208,I09,0.0000,54806
566682,13,37,I27,0.2935,19901
661584736,33,178,I07,0.2785,19102
400561264,3,8,I22,1.0284,30354
394711152,3,11,I12,0.2834,31792
627697,12,12,I22,0.8190,30303
681779375,1,69,,-0.6882,50122
568473,7,3,I14,0.2923,20006
665446302,1,13,,-0.1544,47725
568935,27,21,I20,-0.0574,15672
295437975,4,78,I19,-0.0671,48439
457480,7,10,I15,-0.5490,29696
639184,27,205,I18,0.4721,80265
509433403,7,105,I25,?,58601
364472580,4,62,I20,-0.4799,53177
187271727,5,20,I19,0.3413,78728
761408,15,55,I13,0.8253,44114
578551127,2,13,I12,0.4496,94401
650662682,1,10,,0.5411,91601
735902,22,11,I20,0.2655,55033
732619,35,23,I01,-0.3004,78052
650503757,1,7,,0.6770,92805
505029,27,2,,0.5411,91403
826861,16,28,I21,-0.1242,07071
395988500,3,11,I27,0.2294,56296
628704,19,39,I09,0.8537,95035
465310786,3,301,I21,-0.0188,01826
348642960,4,2,I09,0.7903,30180
439264,9,1,I10,-0.2453,19464
385035877,3,69,I20,0.1056,60067
279363339,4,17,I21,-0.2816,53711
634134,18,250,I19,-0.6972,79922
640237,9,14,I27,1.1214,49449
509379,16,25,I14,-0.8001,97333
604915596,2,176,I16,0.3749,75081
842430,22,10,I14,-0.0801,07046
392083223,3,38,I13,0.2819,23230
649602430,27,2505,I10,-1.0853,35806
779096,7,79,I21,0.4125,94089
628769,13,5,I19,0.0031,19382
764107,30,9,I19,0.1056,60155
499099,41,23,I22,0.2078,04769
85369035,31,71,I07,0.5272,43128
698697381,10,1202,,0.3394,68130
543553,11,44,I13,-0.1424,60085
192034504,33,28,I22,0.1815,60559
240178483,5,28,I27,-0.4309,35209
501387538,18,50,I27,0.3793,07723
754708,13,6,,0.2465,45247
177305015,5,24,I24,0.6648,14227
563542248,33,28,I20,0.6648,14227
571565,28,46,I24,0.2465,45236
207857187,35,7,I20,0.2229,38103
821131,19,355,I27,0.0561,53214
866282,16,2010,I07,0.6297,22314
662622,19,32,I20,-0.1406,60110
60313623,6,23,I24,0.2225,21030
768119,40,15,I12,-0.4004,17339
305332669,4,11,I20,0.6770,92673
454171,16,36,I25,0.3078,87505
591571408,2,31,I19,0.4789,32750
629620,15,14,I01,0.2319,62293
339981839,4,22,I27,0.4264,37738
690394035,1,123,,-0.6413,82601
515263,38,75,I02,0.1530,98005
868054,25,5,I24,-0.0188,01915
725056,7,11,I02,0.7062,30328
240052058,5,25,I20,0.5957,93003
611022,26,48,I13,-0.2531,18711
579189,10,11,I13,0.5411,91436
866697,17,2266,I26,-0.5635,57103
796671,13,8,I25,-0.6463,15074
580240,20,22,I27,0.3749,75238
608997208,1,33,,-0.5193,49720
257551632,5,3,I20,0.8537,94588
455257117,3,66,I11,-0.4492,17015
589062,8,61,,0.4685,46580
662671,10,57,I14,-0.3616,53066
683248,10,9,I26,-0.7034,35640
117359796,20,120,I20,-0.1124,55403
666313326,1,158,,-0.4649,04240
525130,10,5,I27,-1.0744,24064
823745,34,24,I24,0.3749,75225
277166120,4,101,I27,-0.2305,67037
786523,7,10,I12,-1.3511,56377
600207,30,25,I26,0.4542,11930
452210,24,11,I19,0.1790,06460
295375043,4,13,I22,0.1056,60629
507200670,15,30,I13,0.1056,60606
802284,8,6,I17,2.3302,57369
628483172,1,28,,-1.2589,28806
589753103,2,14,I20,0.6277,95073
2393018,7,14,I09,-0.2453,02062
544874052,2,9,I19,-0.4819,28103
475382433,3,14,I20,0.8483,91708
557555,20,7,I22,0.4798,01107
621515927,1,17,I19,0.0031,19365
225710571,7,22,I25,-0.3161,58103
41115065,6,5,I20,0.1790,06716
563563,21,226,I27,-1.1118,50129
539418,22,2,I13,0.5190,34741
495779,30,13,I13,0.2923,20036
419729880,17,15,I20,0.4985,34237
596331288,31,62,I13,0.0558,94104
674039,25,2,I07,-0.4858,28601
8194383,7,36,I27,0.2394,02740
711419296,2,10,,-0.3616,53027
852075,8,12,I20,0.4338,03301
530909,34,48,I13,-0.3588,70130
595800740,7,19,I23,0.1530,98104
391422886,19,12,I07,-0.0594,17551
462657,19,5,I07,?,08550
581907610,2,23,,0.2259,21054
479012,9,4,I16,-0.2378,01801
9934475,27,307,I15,0.3793,07748
507744603,2,17,I20,-0.1124,55413
760025,10,20,I23,?,04122
25826052,7,10,,-0.0188,01915
547886,8,47,I11,0.2920,85027
57155262,8,24,I09,0.1815,60148
363790699,4,63,I22,0.2370,19406
553989,30,2,I27,0.5696,88021
840368,20,10,I16,0.6770,92841
70936635,6,31,I27,-0.2819,64855
382659445,3,90,I19,-0.4376,02864
534416,12,14,I20,-0.2378,01752
512272512,2,50,,0.6277,95077
36730302,13,12,I25,0.3418,28387
503754,16,34,I27,0.1870,68046
326298894,4,738,I20,0.2785,19112
628891260,5,13,I13,0.4146,32202
344289997,18,29,I23,0.6099,04658
516654,33,454,I25,-0.1375,27514
44617787,6,16,I12,0.6907,48084
623919,32,29,I13,-0.0555,02110
457947,7,40,I12,0.2041,78624
619123311,1,12,I22,0.4496,94080
686475496,1,58,,0.1357,38024
441926915,3,52,I22,0.7062,30035
629367317,1,9,I24,-0.0555,02109
245847970,12,448,I23,0.3749,75061
279820802,6,6,I20,-0.3161,58102
369352345,10,117,I24,0.3918,10019
611057761,4,4,I22,0.6770,92620
526295863,24,121,I19,0.1790,06450
777962,28,21,I02,0.1056,60601
455061293,10,23,I27,-0.5883,55902
799822,7,3,I11,?,01833
685264014,22,57,I01,0.3918,10020
599835843,4,54,I27,0.5411,90067
774968,7,5,I19,0.4542,11968
573551362,2,2,I23,-0.4309,35209
450865,39,184,I16,0.1011,77272
33845980,7,685,I26,0.2147,63010
437916278,3,15,I22,0.2147,63026
231924243,5,53,I26,0.1427,64456
349359717,4,1729,I26,0.3749,75137
819086,26,3,I14,0.8253,44125
25214021,7,37,I24,0.3918,10017
671091375,5,51,I11,0.3413,78735
284198405,4,4,I20,0.4496,94402
821217,18,9,I24,-0.1124,55416
650390961,1,21,,0.1126,46741
352811827,4,25,I23,-0.3407,31415
642841,18,40,,0.3749,75201
564328,27,8,I14,0.4332,20124
557630,10,24,I20,0.1056,60005
778890,18,235,I20,-0.0879,18512
725606,16,22,I12,0.6643,13214
411717103,3,6,I24,0.1056,60523
193506932,12,30,I13,0.3918,10018
810775,9,42,I24,0.1011,77075
579023,20,16,I19,0.1056,60487
59559104,26,10,I26,0.5766,43221
378812569,20,597,I26,-0.1242,07649
810561,20,23,I26,0.4352,43081
766531,24,38,I20,-0.2127,53024
820117,14,19,I12,0.7132,49546
630179,7,26,I21,0.7194,33172
669733,8,54,I20,0.7132,49512
168273835,6,95,I27,-0.4474,58854
606363,8,2,I15,0.7062,30084
325952020,4,23,I27,0.3413,78701
733802,23,4417,I25,0.2976,23454
620791,40,25,I13,0.0389,85701
423079267,3,10,,-0.2862,62278
219529747,5,12,I10,-0.0604,40509
552398800,2,18,I27,0.5411,91502
190075511,22,1083,I23,0.4731,33584
353513930,4,16,I09,0.6111,84097
788981,11,8,I14,-0.0176,32611
691930,9,20,I02,-0.3000,50703
576184,10,9,I27,0.3749,75251
702691369,28,186,,0.1839,14420
812850,23,16,I19,0.7577,94520
626113,20,53,I11,0.6770,92660
367072426,30,427,I11,0.6423,98374
748564,42,7,I15,0.2819,23228
712848,10,4,I14,0.4985,34236
850221,21,70,I23,-0.1124,55369
799471,11,94,I27,0.6859,48085
630836,32,23,I12,0.7324,46361
548053841,3,86,,0.2465,45236
707049,16,27,I27,0.6907,48304
449049,7,58,I19,-0.2097,15106
369702476,21,45,I14,0.1056,60523
273802395,4,23,I20,-0.0294,97114
440176,9,41,I22,0.0306,53029
617387,13,173,I20,0.8138,30339
421728085,3,72,I27,-0.2097,15205
709875,9,12,I02,-0.2462,53188
679857,11,2,I15,-0.9377,75602
468275085,24,18,I22,0.3200,37210
550101257,7,24,I09,0.2394,02375
497589637,2,220,I13,-0.4309,35216
204914347,29,5782,I26,-0.8590,76540
380204432,3,33,I27,0.6111,84062
493065,18,10,I02,0.7706,48823
517178,31,23,I14,0.6297,22314
21359207,16,23,I12,-0.9347,78539
638602165,1,15,,-0.3026,31210
520794761,5,493,I22,0.6928,27610
505697,15,7,I11,-0.3416,18104
675416075,1,12,,0.7450,80237
525972325,21,117,I07,-0.1124,55437
225710574,7,39,I26,-0.4706,58274
722463,7,39,I17,-0.8207,56039
774148,9,4,I27,0.2394,02780
440424,13,44,I20,-0.2952,62450
158786876,5,11,I24,-0.3488,73108
580495,10,38,I21,0.3849,48104
458355,26,15,I19,-0.7957,36608
700642367,1,71,,0.2225,21224
733566,17,1,I11,-0.2724,94941
502133,7,47,I21,0.6106,48603
489963,19,15,I17,0.4239,93702
465351,23,4,I15,-1.2236,35603
463042224,3,24,I24,0.3918,10111
531710656,11,137,I17,0.2468,98902
157294701,5,52,I19,0.6907,48307
497560317,2,1,I22,0.4125,94085
615889042,1,31,I27,0.4721,80219
60220000,6,110,I19,-0.3405,52328
754113,14,26,I22,0.4228,21701
651952460,1,75,,0.7289,29485
271314097,4,18,,0.3112,15931
363582138,26,301,I20,1.0705,27262
90797669,17,1125,I13,-0.1124,55402
650278278,1,270,,0.3918,10019
709826,24,14,I26,-0.0188,01950
681689333,4,86,I20,0.5411,91311
686402,13,21,I22,0.7194,33147
457472433,3,13,I21,-0.7695,83705
